id,year,quarter,ceg_label,group,taxa_de_disponibilidade,taxa_de_despacho,geração_líquida_GWh,geração_bruta_GWh,taxa_de_geração_ACR,taxa_de_geração_ACL,receita_variável_líquida_R$/MWh,cvu_R$/MWh
199,2023,2,Fortaleza,Third-part LNG,"1,00","0,00",0.0,0,"0,00","0,00",0,265.0
200,2023,2,Parnaíba I,,98%,35%,508.0,536,"0,0%","100,0%",324,121.0
201,2023,2,Parnaíba II,,100%,32%,345.0,366,"97,2%","2,8%",N.A,91.0
202,2023,2,Parnaíba II,,100%,9%,36.0,37,"0,0%","100,0%",457,246.0
203,2023,3,Porto do Itaqui,Coal Consolidated,"1,00","0,00",0.0,0,"0,00","0,00",N.A,294.0
204,2023,3,Porto do Pecém II,Coal Consolidated,"1,00","0,00",0.0,0,"0,00","0,00",N.A,301.0
205,2023,3,Parnaíba IV,Parnaiba Consolidated,"1,00","0,00",0.0,0,"0,00","0,00",N.A,136.0
206,2023,2,Parnaíba V,Parnaiba Consolidated,"0,97","0,33",265.0,279,"0,00","1,00",0,0.0
207,2023,3,Jaguatirica II,Roraima,"0,86","0,73",185.0,194,"1,00","0,00",0,240.0
208,2023,3,Porto de Sergipe I,Third-part LNG,"0,97","0,00",0.0,0,"0,00","0,00",0,321.0
209,2023,3,Fortaleza,Third-part LNG,"1,00","0,00",0.0,0,"0,00","0,00",0,265.0
210,2023,3,Parnaíba I,,100%,8%,107.0,113,"0,0%","100,0%",218,124.0
211,2023,3,Parnaíba II,,97%,91%,986.0,1043,"100,0%","0,0%",N.A,91.0
212,2023,3,Parnaíba II,,98%,0%,2.0,2,"0,0%","100,0%",0,246.0
213,2023,3,Parnaíba V,Parnaiba Consolidated,"1,00","0,07",52.0,55,"0,00","1,00",0,0.0
